SupplierID	Date	Amount
11	2007-01-26 00:00:00	5	1
20	2007-09-21 00:00:00	28	2
14	2000-04-01 00:00:00	10	3
9	2017-09-06 00:00:00	21	4
35	2016-02-24 00:00:00	32	5
39	1994-10-08 00:00:00	18	6
32	2013-03-28 00:00:00	5	7
26	1998-09-19 00:00:00	3	8
3	2010-01-06 00:00:00	23	9
29	2001-07-15 00:00:00	20	10
10	2006-09-03 00:00:00	13	11
30	1998-11-28 00:00:00	35	12
3	1995-11-24 00:00:00	37	13
9	2013-11-26 00:00:00	11	14
4	2014-11-04 00:00:00	28	15
28	2008-01-15 00:00:00	22	16
4	2002-07-27 00:00:00	16	17
12	2008-11-17 00:00:00	36	18
23	2003-07-10 00:00:00	16	19
17	2000-11-11 00:00:00	32	20
24	2006-08-14 00:00:00	36	21
22	2007-02-04 00:00:00	12	22
28	2016-07-23 00:00:00	13	23
15	2012-10-10 00:00:00	28	24
28	1994-12-07 00:00:00	26	25
22	2011-05-19 00:00:00	29	26
13	2015-11-10 00:00:00	35	27
23	2007-06-11 00:00:00	13	28
38	1995-03-07 00:00:00	24	29
34	2004-11-06 00:00:00	39	30
36	2012-03-18 00:00:00	8	31
22	2006-10-13 00:00:00	6	32
33	1994-10-08 00:00:00	8	33
8	1996-06-07 00:00:00	38	34
19	2000-01-26 00:00:00	38	35
20	2008-01-19 00:00:00	8	36
22	1997-04-22 00:00:00	9	37
34	2011-12-28 00:00:00	26	38
35	2013-01-17 00:00:00	18	39
