PlaceID	Latitude	Longitude	Elevation	Population	Type	Country
1	11	11	1	1	LHNIDC	FYCGW5
2	12	12	2	2	HFYTL3	YVOV8Y
3	13	13	3	3	10PC3L	1O09TC
4	14	14	4	4	KP89VQ	87ITEJ
5	15	15	5	5	ZAJ7JE	VCM02J
6	16	16	6	6	KG43DM	YXRYXF
7	17	17	7	7	VAN50Y	FKQP6X
8	18	18	8	8	Z5DHYM	7IQVFW
9	19	19	9	9	JIR87W	ET4Q6F
10	20	20	10	10	BCNF51	L2WCOS
11	21	21	11	11	U9Y15J	K7YLIF
12	22	22	12	12	PCL9RX	HS8KS5
13	23	23	13	13	N8M8XY	WAN8HX
14	24	24	14	14	TVO1HV	IIS8HX
15	25	25	15	15	M2XK3Z	DM6UUD
16	26	26	16	16	F33GU4	MID2RV
17	27	27	17	17	G4XFSW	FO8KDC
18	28	28	18	18	IPVJER	PQV5KQ
19	29	29	19	19	D6AJKO	3NHU3S
20	30	30	20	20	GRJ80C	QMJFOT
21	31	31	21	21	TAMMFX	M16SRZ
22	32	32	22	22	ERZRGB	GNHAWF
23	33	33	23	23	0DKFKN	JX4EGN
24	34	34	24	24	HH923E	RHGBPG
25	35	35	25	25	MXL9VA	FV7AY0
26	36	36	26	26	9IRFON	NV8MU0
27	37	37	27	27	3FY1NF	QHAMAP
28	38	38	28	28	X5GEXZ	CJW4YU
29	39	39	29	29	FZITAZ	D779YG
30	40	40	30	30	7FMAH5	HEUYU7
31	41	41	31	31	7XSKKW	3H7UHU
32	42	42	32	32	NRI6RU	GS2IGD
33	43	43	33	33	EZJ17O	1AAUMZ
34	44	44	34	34	U6CZRR	6ABCQL
35	45	45	35	35	KOEIF0	B37DGZ
36	46	46	36	36	COZTTQ	PTY0JG
37	47	47	37	37	QC6TTE	57Y8U2
38	48	48	38	38	7PSXVF	SWCQT5
39	49	49	39	39	KMNAFX	BMUQ05
