SnID	Name	Language	Status	Standard	PlaceID	SupplierID	DateSupplied
1	IOTAOD	OFB6ZR	UMA8JB	V9RPMP	4	19	2004-02-07 00:00:00	15
2	HDC3XP	PAZQV0	HJGG1C	LZ1UCO	32	21	2015-01-02 00:00:00	13
3	KHKJ2R	G8713U	VKW8I5	DTFG8M	6	8	2004-11-02 00:00:00	19
4	IC8BSB	JEYKBZ	AMNRSI	2ZKXAJ	38	7	2004-09-28 00:00:00	4
5	5ENH2G	968PW6	UL1N8D	AO9TO4	18	35	2009-05-10 00:00:00	23
6	P3BFK0	BEB53Y	6RUJRJ	P9H3U9	19	12	2011-09-12 00:00:00	38
7	UPZY81	0QE6AD	R7098Y	TEJDL4	18	21	1999-05-02 00:00:00	37
8	5ULYO9	LUV80J	HGGUEK	VU4L6L	8	32	2006-12-04 00:00:00	34
9	KZX9Y1	CETV9R	SBPPML	FHOA5C	14	5	1996-04-09 00:00:00	31
10	86ES2G	K1IVL9	OMHREE	2IMEYP	36	38	1995-07-08 00:00:00	10
11	FVBHRA	1321V8	GBCO9T	3LTY63	39	15	2005-04-25 00:00:00	25
12	8MXJT9	9SS0LG	S132IF	U5H2W3	33	25	1999-04-24 00:00:00	17
13	MAE4YL	EAC10U	F8CNPR	A8SZDD	20	22	2018-08-20 00:00:00	19
14	ZYCAMO	W3GAXD	NR2G6P	IX40PR	12	17	2016-12-06 00:00:00	16
15	65IJ5M	3QXZCY	L7OPED	E7EWXH	1	3	2000-05-10 00:00:00	38
16	BFGZED	GPXXCK	DJ1BE2	X77LMT	39	1	2005-03-18 00:00:00	33
17	ZJ45E1	F5ZBDC	LBVYA1	J96XTA	26	23	2016-01-13 00:00:00	37
18	4PD4UT	UFNVDC	UZ7JYH	M6F71L	32	34	2011-12-07 00:00:00	35
19	1N8S1L	ZFXM1Y	EY4G2M	G3H11C	35	37	2008-01-20 00:00:00	8
20	BZ2CKG	26SNVY	YTD92V	V2ES70	15	8	2003-09-02 00:00:00	32
21	QVHKH4	VCN8OY	3V14PB	GVCNK1	14	22	2007-11-15 00:00:00	14
22	YYF6ZL	6R0PS1	10ZIBF	6FYUBN	31	27	2009-10-19 00:00:00	32
23	LDALPT	ILLC6Q	O4WTY7	KHC2UT	2	8	1994-11-21 00:00:00	39
24	9FHVO5	S3LFBT	8QKG83	9YHVUC	3	37	2001-12-10 00:00:00	31
25	LSKF89	K199GY	VIYQF1	WGX5DZ	6	5	1997-06-21 00:00:00	8
26	8KRYEB	CDHSY6	6ZLVJN	BSDIO0	35	13	1997-12-06 00:00:00	28
27	LNQ4UI	RV97HC	KYPDCY	DB4CL8	3	8	1994-12-11 00:00:00	1
28	IG4BI5	OUB1P6	8CGLUY	J8E30Q	13	25	2002-04-23 00:00:00	39
29	NTP2K9	2JNVWX	B53T78	L33U6J	12	7	1997-04-10 00:00:00	11
30	REKENR	Y09DKJ	NP0NEJ	J7FKAY	26	21	2004-11-28 00:00:00	17
31	T639EY	XTVCKZ	WYRLET	IAB4HM	26	17	2012-04-08 00:00:00	27
32	WPO1IH	RURRFI	V4JCBJ	WVDIHJ	11	11	2018-05-24 00:00:00	18
33	2AHU67	08NOQC	6H9GL5	M8C7HN	1	38	1995-07-22 00:00:00	18
34	FBEH4F	MU26HI	ZSKVTI	1LISMM	28	37	2010-03-21 00:00:00	36
35	Q9NI80	TLUEB6	UEJS92	GJ13SH	37	27	2015-05-24 00:00:00	6
36	E2BF9N	5W2JQK	UQHAMX	MRRVUQ	10	10	1997-10-19 00:00:00	21
37	7GXQ5B	JNETC9	4TMSH7	52IXKL	15	23	2002-05-28 00:00:00	7
38	RQA6GK	NFGZ9Q	27LGUT	2VFV80	14	23	2011-11-18 00:00:00	14
39	C8T3LF	3SWADJ	2NFM3B	0XPVDL	26	38	2009-04-24 00:00:00	8
